Species strain,Species,Strain,Clade,Source,Assembly Accession,Keep,Notes
Aspergillus versicolor v1.0,Aspergillus versicolor,CBS 583.65,Ascomyocta,JGI,,,
Aspergillus versicolor CBS 583.65,Aspergillus versicolor CBS 583.65,CBS 583.65,Ascomyocta,FungiDB,,,
Aspergillus versicolor CBS 583.65 (GCA_001890125),Aspergillus versicolor CBS 583.65,CBS 583.65,Ascomyocta,Ensembl-Genbank,,,
Aspergillus violaceofuscus CBS 115571 (GCA_003184705),Aspergillus violaceofuscus CBS 115571,CBS 115571,Ascomyocta,Ensembl-Genbank,,,
Aspergillus violaceofuscus CBS 115571 v1.0,Aspergillus violaceofuscus CBS 115571,CBS 115571,Ascomyocta,JGI,,,
Aspergillus welwitschiae CBS139.54b v1.0,Aspergillus welwitschiae CBS139.54b,CBS139.54b,Ascomyocta,JGI,,,
Aspergillus wentii v1.0,Aspergillus wentii,DTO 134E9,Ascomyocta,JGI,,,
Aspergillus wentii DTO 134E9,Aspergillus wentii DTO 134E9,DTO 134E9,Ascomyocta,FungiDB,,,
Aspergillus wentii DTO 134E9 (GCA_001890725),Aspergillus wentii DTO 134E9,DTO 134E9,Ascomyocta,Ensembl-Genbank,,,
Aspergillus zonatus v1.0,Aspergillus zonatus,CBS 506.65,Ascomyocta,JGI,,,
Aspergillus zonatus CBS 506.65,Aspergillus zonatus CBS 506.65,CBS 506.65,Ascomyocta,FungiDB,,,
Aulographum hederae v2.0,Aulographum hederae,CBS 113979,,JGI,,,
Aureobasidium melanogenum CBS 110374 (GCA_000721775),Aureobasidium melanogenum CBS 110374,CBS 110374,,Ensembl-Genbank,,,
Aureobasidium namibiae CBS 147.97 (GCA_000721765),Aureobasidium namibiae CBS 147.97,CBS 147.97,,Ensembl-Genbank,,,
Aureobasidium pullulans (GCA_001678115),Aureobasidium pullulans,EXF-150,Ascomyocta,Ensembl-Genbank,,,
Aureobasidium pullulans EXF-150 (GCA_000721785),Aureobasidium pullulans EXF-150,EXF-150,Ascomyocta,Ensembl-Genbank,,,
Aureobasidium pullulans var. melanogenum CBS 110374,Aureobasidium pullulans var. melanogenum CBS 110374,CBS 110374,Ascomyocta,JGI,,,
Aureobasidium pullulans var. namibiae CBS 147.97,Aureobasidium pullulans var. namibiae CBS 147.97,CBS 147.97,Ascomyocta,JGI,,,
Aureobasidium pullulans var. pullulans EXF-150,Aureobasidium pullulans var. pullulans EXF-150,EXF-150,Ascomyocta,JGI,,,
Aureobasidium pullulans var. subglaciale EXF-2481,Aureobasidium pullulans var. subglaciale EXF-2481,EXF-2481,Ascomyocta,JGI,,,
Aureobasidium subglaciale EXF-2481 (GCA_000721755),Aureobasidium subglaciale EXF-2481,EXF-2481,Ascomyocta,Ensembl-Genbank,,,
Auricularia subglabra v2.0,Auricularia subglabra,TFB10046 SS–5,,JGI,,,
Auriculariopsis ampla NL-1724 v1.0,Auriculariopsis ampla NL-1724,NL-1724,,JGI,,,
Auriscalpium vulgare FP105234-Sp v1.0,Auriscalpium vulgare FP105234-Sp,FP105234-Sp,,JGI,,,
Babjeviella inositovora NRRL Y-12698 (GCA_001661335),Babjeviella inositovora NRRL Y-12698,NRRL Y-12698,,Ensembl-Genbank,,,
Babjeviella inositovora NRRL Y-12698 v1.0,Babjeviella inositovora NRRL Y-12698,NRRL Y-12698,,JGI,,,
Backusella circina FSU 941 v1.0,Backusella circina FSU 941,FSU 941,Mucoromycota,JGI,,,
Basidiobolus meristosporus CBS 931.73 (GCA_002104905),Basidiobolus meristosporus CBS 931.73,CBS 931.73,Zoopagomycota,Ensembl-Genbank,,,
Basidiobolus meristosporus CBS 931.73 v1.0,Basidiobolus meristosporus CBS 931.73,CBS 931.73,Zoopagomycota,JGI,,,
Batrachochytrium dendrobatidis JAM81 (GCA_000203795),Batrachochytrium dendrobatidis JAM81,JAM81,Chytridiomycota,Ensembl-Genbank,,,
Batrachochytrium dendrobatidis JEL423,Batrachochytrium dendrobatidis JEL423,JEL423,Chytridiomycota,FungiDB,,,
Batrachochytrium dendrobatidis JEL423 (GCA_000149865),Batrachochytrium dendrobatidis JEL423,JEL423,Chytridiomycota,Ensembl-Genbank,,,
Batrachochytrium salamandrivorans str. BS (GCA_002006685),Batrachochytrium salamandrivorans str. BS,BS,,Ensembl-Genbank,,,
Baudoinia compniacensis UAMH 10762 (4089826) v1.0,Baudoinia panamericana UAMH 10762,UAMH 10762,,JGI,,,Note name has changed
Baudoinia panamericana UAMH 10762 (GCA_000338955),Baudoinia panamericana UAMH 10762,UAMH 10762,,Ensembl-Genbank,,,
Beauveria bassiana,Beauveria bassiana,ARSEF 2860,,Ensembl-Genbank,,,
Beauveria bassiana ARSEF 2860,Beauveria bassiana ARSEF 2860,ARSEF 2860,,JGI,,,
Beauveria bassiana ARSEF 2860 (GCA_000280675),Beauveria bassiana ARSEF 2860,ARSEF 2860,,Ensembl-Genbank,,,
Beauveria bassiana D1-5 (GCA_000770705),Beauveria bassiana D1-5,D1-5,,Ensembl-Genbank,,,
Beauveria bassiana str. JEF-007 (GCA_002871155),Beauveria bassiana str. JEF-007,JEF-007,,Ensembl-Genbank,,,
Benjaminiella poitrasii RSA 903 v1.0,Benjaminiella poitrasii RSA 903,RSA 903,Mucoromyocta,JGI,,,
Bifiguratus adelaidae str. AZ0501,Bifiguratus adelaidae str. AZ0501,AZ0501,Mucoromyocta,Ensembl-Genbank,,,
Bimuria novae-zelandiae CBS 107.79 v1.0,Bimuria novae-zelandiae CBS 107.79,CBS 107.79,,JGI,,,
Bipolaris maydis ATCC 48331 (GCA_000354255),Bipolaris maydis ATCC 48331,ATCC 48331,,Ensembl-Genbank,,,
Bipolaris maydis C5 (GCA_000338975),Bipolaris maydis C5,C5,,Ensembl-Genbank,,,
Bipolaris oryzae ATCC 44560 (GCA_000523455),Bipolaris oryzae ATCC 44560,ATCC 44560,,Ensembl-Genbank,,,
Bipolaris sorokiniana ND90Pr (GCA_000338995),Bipolaris sorokiniana ND90Pr,ND90Pr,,Ensembl-Genbank,,,
Bipolaris victoriae FI3 (GCA_000527765),Bipolaris victoriae FI3,FI3,,Ensembl-Genbank,,,
Bipolaris zeicola 26-R-13 (GCA_000523435),Bipolaris zeicola 26-R-13,26-R-13,,Ensembl-Genbank,,,
Bisporella sp. PMI_857 v1.0,Bisporella sp. PMI_857,PMI_857,,JGI,,,
Bjerkandera adusta v1.0,Bjerkandera adusta,HHB-12826-SP SB-22 ,,JGI,,,
Blakeslea trispora F921 v1.0,Blakeslea trispora F921,F921,,JGI,,,
Blakeslea trispora F986 v1.0,Blakeslea trispora F986,F986,,JGI,,,
Blakeslea trispora NRRL 2456 v1.0,Blakeslea trispora NRRL 2456,NRRL 2456,,JGI,,,
Blastobotrys (Arxula) adeninivorans,Blastobotrys adeninivorans,LS3,,JGI,,YES,Manually add strain
Blastocladiella britannica v1.0,Blastocladiella britannica,JEL711,Blastocladiomycota,JGI,,,
Blastomyces dermatitidis ATCC 18188 (GCA_000151595),Blastomyces dermatitidis ATCC 18188,ATCC 18188,,Ensembl-Genbank,,,
Blastomyces dermatitidis ATCC 26199 (GCA_000166155),Blastomyces dermatitidis ATCC 26199,ATCC 26199,,Ensembl-Genbank,,,
Blastomyces dermatitidis ER-3 (GCA_000003525),Blastomyces dermatitidis ER-3,ER-3,,Ensembl-Genbank,,,
Blastomyces dermatitidis SLH14081,Blastomyces dermatitidis SLH14081,SLH14081,,JGI,,,
Blastomyces gilchristii SLH14081 (GCA_000003855),Blastomyces gilchristii SLH14081,SLH14081,,Ensembl-Genbank,,,
Blastomyces percursus str. EI222 (GCA_001883805),Blastomyces percursus str. EI222,EI222,,Ensembl-Genbank,,,
Blumeria graminis,Blumeria graminis,DH14,,Ensembl-Genbank,,,
Blumeria graminis f. sp. hordei DH14,Blumeria graminis f. sp. hordei DH14,DH14,,JGI,,,
Blumeria graminis f. sp. hordei Race1,Blumeria graminis f. sp. hordei Race1,Race1,,JGI,,,
Blumeria graminis f. sp. tritici 96224,Blumeria graminis f. sp. tritici 96224,96224,,JGI,,,
Blumeria graminis f. sp. tritici 96224 (GCA_000418435),Blumeria graminis f. sp. tritici 96224,96224,,Ensembl-Genbank,,,
Blyttiomyces helicus single-cell v1.0,Blyttiomyces helicus,,,JGI,,,
Boeremia exigua MPI-SDFR-AT-0100 v1.0,Boeremia exigua MPI-SDFR-AT-0100,MPI-SDFR-AT-0100,,JGI,,,
Bolbitius vitellinus SZMC-NL-1974 v1.0,Bolbitius vitellinus SZMC-NL-1974,SZMC-NL-1974,,JGI,,,
Boletus edulis P?ilba v1.0,Boletus edulis Prilba,Prilba,,JGI,,,
Boliniaceae sp. AZ0804 v1.0,Boliniaceae sp. AZ0804,AZ0804,,JGI,,,
Bombardia bombarda SMH3391-2 v1.0,Bombardia bombarda SMH3391-2,SMH3391-2,,JGI,,,
Boreostereum radiatum TFC1981-005 v1.0,Boreostereum radiatum TFC1981-005,TFC1981-005,,JGI,,,
Botryobasidium botryosum v1.0,Botryobasidium botryosum,FD-172 SS1,,JGI,,,
Botryobasidium botryosum FD-172 SS1 (GCA_000697705),Botryobasidium botryosum FD-172 SS1,FD-172 SS1,,Ensembl-Genbank,,,
Botryosphaeria dothidea,Botryosphaeria dothidea,,,JGI,,,Ask Joey for strain ID
Botryozyma mucatilis CBS 9042 v1.0,Botryozyma mucatilis CBS 9042,CBS 9042,,JGI,,,
Botrytis cinerea v1.0,Botrytis cinerea,B05.10,Ascomyocta,JGI,,,Worse assembly; unclear which strain this assembly is for?
Botrytis cinerea B05.10,Botrytis cinerea B05.10,B05.10,Ascomyocta,FungiDB,,,
Botrytis cinerea B05.10,Botrytis cinerea B05.10,B05.10,Ascomyocta,Ensembl-Genbank,,,
Botrytis cinerea BcDW1 (GCA_000349525),Botrytis cinerea BcDW1,BcDW1,Ascomyocta,Ensembl-Genbank,,,
Botrytis cinerea T4 (GCA_000227075),Botrytis cinerea T4,T4,Ascomyocta,Ensembl-Genbank,,,
Brettanomyces bruxellensis AWRI1499 (GCA_000259595),Brettanomyces bruxellensis AWRI1499,AWRI1499,,Ensembl-Genbank,,,
Bulgaria inquinans CBS118.31 v1.0,Bulgaria inquinans CBS118.31,CBS118.31,,JGI,,,
Byssochlamys spectabilis,Byssochlamys spectabilis,MTDF-01,Ascomyocta,GenBank,GCA_003990805.1,,This is better chromosome assembly but is newer and not in Ensembl
Byssochlamys spectabilis No. 5,Byssochlamys spectabilis,NBRC 109023,,JGI,,,
Byssochlamys spectabilis No. 5 str. Paecilomyces variotii No. 5 (NBRC109023) (GCA_000497085),Byssochlamys spectabilis,NBRC 109023,Ascomyocta,Ensembl-Genbank,,,
Byssothecium circinans CBS 675.92 v1.0,Byssothecium circinans CBS 675.92,CBS 675.92,,JGI,,,
Cadophora sp. DSE1049 (GCA_003073865),Cadophora sp. DSE1049,DSE1049,,Ensembl-Genbank,,,
Cadophora sp. DSE1049 v1.0,Cadophora sp. DSE1049,DSE1049,,JGI,,,
Calocera cornea v1.0,Calocera cornea,HHB12733,,JGI,,,
Calocera cornea HHB12733 (GCA_001632435),Calocera cornea HHB12733,HHB12733,,Ensembl-Genbank,,,
Calocera viscosa v1.0,Calocera viscosa,TUFC12733,,JGI,,,
Calocera viscosa TUFC12733 (GCA_001630345),Calocera viscosa TUFC12733,TUFC12733,,Ensembl-Genbank,,,
Caloscypha fulgens ATCC 42695 v1.0,Caloscypha fulgens ATCC 42695,ATCC 42695,Ascomyocta,JGI,,,
Calycina marina TRa3180A v1.0,Calycina marina TRa3180A,TRa3180A,Ascomyocta,JGI,,,
Candida albicans 12C (GCA_000773845),Candida albicans 12C,12C,Ascomyocta,Ensembl-Genbank,,,
Candida albicans 19F (GCA_000775445),Candida albicans 19F,19F,Ascomyocta,Ensembl-Genbank,,,
Candida albicans Ca6 (GCA_000784695),Candida albicans Ca6,Ca6,Ascomyocta,Ensembl-Genbank,,,
Candida albicans GC75 (GCA_000773735),Candida albicans GC75,GC75,Ascomyocta,Ensembl-Genbank,,,
Candida albicans L26 (GCA_000775455),Candida albicans L26,L26,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P34048 (GCA_000775465),Candida albicans P34048,P34048,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P37005 (GCA_000773745),Candida albicans P37005,P37005,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P37037 (GCA_000773825),Candida albicans P37037,P37037,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P37039 (GCA_000784515),Candida albicans P37039,P37039,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P57055 (GCA_000775505),Candida albicans P57055,P57055,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P57072 (GCA_000773805),Candida albicans P57072,P57072,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P60002 (GCA_000784525),Candida albicans P60002,P60002,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P75010 (GCA_000784575),Candida albicans P75010,P75010,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P75016 (GCA_000784595),Candida albicans P75016,P75016,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P75063 (GCA_000775525),Candida albicans P75063,P75063,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P76055 (GCA_000784505),Candida albicans P76055,P76055,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P76067 (GCA_000784495),Candida albicans P76067,P76067,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P78042 (GCA_000784615),Candida albicans P78042,P78042,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P78048 (GCA_000773725),Candida albicans P78048,P78048,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P87 (GCA_000774085),Candida albicans P87,P87,Ascomyocta,Ensembl-Genbank,,,
Candida albicans P94015 (GCA_000773755),Candida albicans P94015,P94015,Ascomyocta,Ensembl-Genbank,,,
Candida albicans SC5314,Candida albicans SC5314,SC5314,Ascomyocta,FungiDB,,,
Candida albicans SC5314,Candida albicans SC5314,SC5314,Ascomyocta,JGI,,,
Candida albicans SC5314 (GCA_000784635),Candida albicans SC5314,SC5314,Ascomyocta,Ensembl-Genbank,,,
Candida albicans SC5314 (GCA_000784655),Candida albicans SC5314,SC5314,Ascomyocta,Ensembl-Genbank,,,
Candida albicans SC5314_B,Candida albicans SC5314_B,SC5314_B,Ascomyocta,FungiDB,,,
Candida albicans WO-1,Candida albicans WO-1,WO-1,Ascomyocta,FungiDB,,,
Candida albicans WO-1 (GCA_000149445),Candida albicans WO-1,WO-1,Ascomyocta,Ensembl-Genbank,,,
[Candida] arabinofermentans NRRL YB-2248 (GCA_001661425),Candida arabinofermentans NRRL YB-2248,NRRL YB-2248,Ascomyocta,Ensembl-Genbank,,NO,
Candida arabinofermentans NRRL YB-2248 v1.0,Candida arabinofermentans NRRL YB-2248,NRRL YB-2248,Ascomyocta,JGI,,YES,
[Candida] auris (GCA_002775015),Candida auris,B11221,Ascomyocta,Ensembl-Genbank,,YES,Best assembly
[Candida] auris (GCA_002759435),Candida auris,B8441,Ascomyocta,Ensembl-Genbank,,NO,
[Candida] auris (GCA_003013715),Candida auris,B11220,Ascomyocta,Ensembl-Genbank,,NO,
[Candida] auris (GCA_003014415),Candida auris,B11243,Ascomyocta,Ensembl-Genbank,,NO,
[Candida] auris str. 6684 (GCA_001189475),Candida auris ,6684,Ascomyocta,Ensembl-Genbank,,NO,
Candida auris strain B8441,Candida auris strain,B8441,Ascomyocta,FungiDB,,NO,
Candida boidinii NRRL Y-2332,Candida boidinii NRRL Y-2332,NRRL Y-2332,Ascomyocta,JGI,,,
Candida dubliniensis CD36 (GCA_000026945),Candida dubliniensis CD36,CD36,Ascomyocta,Ensembl-Genbank,,,
[Candida] duobushaemulonis str. B09383 (GCA_002926085),Candida duobushaemulonis str. B09383,B09383,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466525),Candida glabrata,1A,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466535),Candida glabrata,1B,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466635),Candida glabrata,2A,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466575),Candida glabrata,2B,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466685),Candida glabrata,3A,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_001466565),Candida glabrata,3B,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_002219185),Candida glabrata,DSY562,Ascomyocta,Ensembl-Genbank,,,
[Candida] glabrata (GCA_002219195),Candida glabrata,DSY565,Ascomyocta,Ensembl-Genbank,,,
Candida glabrata CBS 138,Candida glabrata CBS 138,CBS 138,Ascomyocta,FungiDB,,,
[Candida] glabrata str. CBS138 (GCA_000002545),Candida glabrata str. CBS138,CBS 138,Ascomyocta,Ensembl-Genbank,,,
[Candida] haemulonis str. B11899 (GCA_002926055),Candida haemulonis str. B11899,B11899,Ascomyocta,Ensembl-Genbank,,,
[Candida] intermedia (GCA_900106115),Candida intermedia,CBS 141442,Ascomyocta,Ensembl-Genbank,,,
[Candida] intermedia (GCA_900106125),Candida intermedia,PYCC 4715,Ascomyocta,Ensembl-Genbank,,,
Candida maltosa Xu316 (GCA_000344705),Candida maltosa Xu316,Xu316,Ascomyocta,Ensembl-Genbank,,,
Candida orthopsilosis Co 90-125 (GCA_000315875),Candida orthopsilosis Co 90-125,Co 90-125,Ascomyocta,Ensembl-Genbank,,,
Candida parapsilosis CDC317,Candida parapsilosis CDC317,CDC317,Ascomyocta,FungiDB,,,
Candida parapsilosis str. CDC317 (GCA_000182765),Candida parapsilosis str. CDC317,CDC317,Ascomyocta,Ensembl-Genbank,,,
[Candida] pseudohaemulonis str. B12108 (GCA_003013735),Candida pseudohaemulonis str. B12108,B12108,Ascomyocta,Ensembl-Genbank,,,
Candida tanzawaensis NRRL Y-17324  v1.0,Candida tanzawaensis NRRL Y-17324,NRRL Y-17324,Ascomyocta,JGI,,,
[Candida] tenuis ATCC 10573 (GCA_000223465),Candida tenuis ATCC 10573,ATCC 10573,Ascomyocta,Ensembl-Genbank,,,
Candida tenuis NRRL Y-1498 v1.0,Candida tenuis NRRL Y-1498,NRRL Y-1498,Ascomyocta,JGI,,,
Candida tropicalis MYA-3404,Candida tropicalis MYA-3404,MYA-3404,Ascomyocta,FungiDB,,,
Candida tropicalis MYA-3404 (GCA_000006335),Candida tropicalis MYA-3404,MYA-3404,Ascomyocta,Ensembl-Genbank,,,
Capronia coronata CBS 617.96,Capronia coronata CBS 617.96,CBS 617.96,Ascomyocta,JGI,,,
Capronia coronata CBS 617.96 (GCA_000585585),Capronia coronata CBS 617.96,CBS 617.96,Ascomyocta,Ensembl-Genbank,,,
Capronia epimyces CBS 606.96,Capronia epimyces CBS 606.96,CBS 606.96,Ascomyocta,JGI,,,
Capronia epimyces CBS 606.96 (GCA_000585565),Capronia epimyces CBS 606.96,CBS 606.96,Ascomyocta,Ensembl-Genbank,,,
Capronia semiimmersa CBS27337,Capronia semiimmersa CBS27337,CBS 27337,Ascomyocta,JGI,,,
Catenaria anguillulae PL171 (GCA_002102555),Catenaria anguillulae PL171,PL171,Blastocladiomycota,Ensembl-Genbank,,,
Catenaria anguillulae PL171 v2.0,Catenaria anguillulae PL171,PL171,Blastocladiomycota,JGI,,,
Caulochytrium protostelioides ATCC 52028 v1.0,Caulochytrium protostelioides ATCC 52028,ATCC 52028,Chytridiomycota,JGI,,,
Caulochytrium protostelioides ATCC 52028 single-cell v1.0,Caulochytrium protostelioides ATCC 52028 single-cell,ATCC 52028 single-cell,Chytridiomycota,JGI,,,
Cenococcum geophilum 1.58 v2.0,Cenococcum geophilum 1.58,1.58,Ascomyocta,JGI,,,
Cephaloascus albidus ATCC 66658 v1.0,Cephaloascus albidus ATCC 66658,ATCC 66658,Ascomyocta,JGI,,,
Cephaloascus fragrans 12-1022 v1.0,Cephaloascus fragrans 12-1022,12-1022,Ascomyocta,JGI,,,
Ceraceosorus bombacis (GCA_900000165),Ceraceosorus bombacis,ATCC 22867,Basidiomycota,Ensembl-Genbank,,,
Ceraceosorus guamensis MCA 4658 v1.0,Ceraceosorus guamensis MCA 4658,MCA 4658,Basidiomycota,JGI,,,
Ceraceosorus guamensis str. MCA 4658 (GCA_003144195),Ceraceosorus guamensis str. MCA 4658,MCA 4658,Basidiomycota,Ensembl-Genbank,,,
"Ceratobasidium sp. (anastomosis group I, AG-I) v1.0","Ceratobasidium sp. (anastomosis group I, AG-I)",AG-I-DN8442,Basidiomycota,JGI,,,
Ceratocystis platani str. CFO (GCA_000978885),Ceratocystis platani str. CFO,CFO,Ascomyocta,Ensembl-Genbank,,,
Cercophora caudata CBS 606.72 v1.0,Cercophora caudata CBS 606.72,CBS 606.72,,JGI,,,
Cercophora newfieldiana SMH2532-1 v1.0,Cercophora newfieldiana SMH2532-1,SMH2532-1,,JGI,,,
Cercophora scortea SMH4131-1 v1.0,Cercophora scortea SMH4131-1,SMH4131-1,,JGI,,,
Cercospora berteroae (GCA_002933655),Cercospora berteroae,CBS 538.71,,Ensembl-Genbank,,,
Cercospora beticola (GCA_002742065),Cercospora beticola,09-40,,Ensembl-Genbank,,,
Cercospora zeina str. CMW25467 (GCA_002844615),Cercospora zeina str. CMW25467,CMW25467,,Ensembl-Genbank,,,
Cerinomyces ceraceus ATCC 56525 v1.0,Cerinomyces ceraceus ATCC 56525,ATCC 56525,,JGI,,,
Ceriporia viridans OMC1683 v1.0,Ceriporia viridans OMC1683,OMC1683,,JGI,,,
Chaetomidium fimeti CBS 168.71 v1.0,Chaetomidium fimeti CBS 168.71,CBS 168.71,,JGI,,,
Chaetomium funicola MPI-SDFR-AT-0129 v1.0,Chaetomium funicola MPI-SDFR-AT-0129,MPI-SDFR-AT-0129,,JGI,,,
Chaetomium globosum v1.0,Chaetomium globosum,CBS 148.51,,JGI,,,
Chaetomium globosum CBS 148.51 (GCA_000143365),Chaetomium globosum CBS 148.51,CBS 148.51,,Ensembl-Genbank,,,
Chaetomium megalocarpum MPI-CAGE-AT-0009 v1.0,Chaetomium megalocarpum MPI-CAGE-AT-0009,MPI-CAGE-AT-0009,,JGI,,,
Chaetomium thermophilum var. thermophilum DSM 1495 (GCA_000221225),Chaetomium thermophilum var. thermophilum DSM 1495,DSM 1495,,Ensembl-Genbank,,,
Chaetosphaeriaceae sp. FL1790 v1.0,Chaetosphaeriaceae sp. FL1790,FL1790,,JGI,,,
Chionosphaera apobasidialis 52639 v1.0,Chionosphaera apobasidialis 52639,52639,,JGI,,,
Chionosphaera cuniculicola CBS10063  v1.0,Chionosphaera cuniculicola CBS10063,CBS 10063,,JGI,,,
Choanephora cucurbitarum NRRL2744 (50) v1.0,Choanephora cucurbitarum NRRL2744 (50),NRRL 2744 (50),,JGI,,,
Choanephora cucurbitarum str. KUS-F28377 (GCA_001683725),Choanephora cucurbitarum str. KUS-F28377,KUS-F28377,,Ensembl-Genbank,,,
Choiromyces venosus 120613-1 v1.0,Choiromyces venosus 120613-1,120613-1,,JGI,,,
Chytridiomycota sp. Smith's Fen BAUOG (Environmental single-cell) v1.0,Chytridiomycota sp. Smith's Fen BAUOG,,,JGI,,NO,Quality too low
Chytridium lagenaria Arg66 v1.0,Chytridium lagenaria Arg66,Arg66,,JGI,,,
Chytriomyces hyalinus JEL632 v1.0,Chytriomyces hyalinus JEL632,JEL632,,JGI,,,
Chytriomyces sp. MP 71 v1.0,Chytriomyces sp. MP 71,MP 71,,JGI,,,
Circinella umbellata NRRL1351 v1.0,Circinella umbellata NRRL1351,NRRL 1351,,JGI,,,
Citeromyces matritensis NRRL Y-2407,Citeromyces matritensis NRRL Y-2407,NRRL Y-2407,,JGI,,,
Cladochytrium polystomum WB228 v1.0,Cladochytrium polystomum WB228,WB228,,JGI,,,
Cladophialophora bantiana CBS 173.52,Cladophialophora bantiana CBS 173.52,CBS 173.52,,JGI,,,
Cladophialophora bantiana CBS 173.52 (GCA_000835475),Cladophialophora bantiana CBS 173.52,CBS 173.52,,Ensembl-Genbank,,,
Cladophialophora carrionii CBS 160.54,Cladophialophora carrionii CBS 160.54,CBS 160.54,,JGI,,,
Cladophialophora carrionii CBS 160.54 (GCA_000365165),Cladophialophora carrionii CBS 160.54,CBS 160.54,,Ensembl-Genbank,,,
Cladophialophora carrionii KSF,Cladophialophora carrionii KSF,KSF,Ascomyocta,FungiDB,,,
Cladophialophora carrionii str. KSF (GCA_001700775),Cladophialophora carrionii str. KSF,KSF,,Ensembl-Genbank,,,
Cladophialophora immunda CBS83496,Cladophialophora immunda CBS83496,CBS 83496,Ascomyocta,JGI,,,
Cladophialophora immunda str. CBS 83496 (GCA_000835495),Cladophialophora immunda str. CBS 83496,CBS 83496,Ascomyocta,Ensembl-Genbank,,,
Cladophialophora psammophila CBS 110553,Cladophialophora psammophila CBS 110553,CBS 110553,Ascomyocta,JGI,,,
Cladophialophora psammophila CBS 110553 (GCA_000585535),Cladophialophora psammophila CBS 110553,CBS 110553,Ascomyocta,Ensembl-Genbank,,,
Cladophialophora yegresii CBS 114405,Cladophialophora yegresii CBS 114405,CBS 114405,Ascomyocta,JGI,,,
Cladophialophora yegresii CBS 114405 (GCA_000585515),Cladophialophora yegresii CBS 114405,CBS 114405,Ascomyocta,Ensembl-Genbank,,,
Cladosporium sphaerospermum UM 843,Cladosporium sphaerospermum UM 843,UM 843,Ascomyocta,JGI,,,
Clathrospora elynae CBS 161.51 v1.0,Clathrospora elynae CBS 161.51,CBS 161.51,Ascomyocta,JGI,,,
Claviceps purpurea 20.1 (GCA_000347355),Claviceps purpurea 20.1,20.1,Ascomyocta,Ensembl-Genbank,,,
Clavicorona pyxidata HHB10654 v1.0,Clavicorona pyxidata HHB10654,HHB10654,Basidiomycota,JGI,,,
Clavispora lusitaniae ATCC 42720,Clavispora lusitaniae ATCC 42720,ATCC 42720,Ascomyocta,FungiDB,,,
Clavispora lusitaniae ATCC 42720,Clavispora lusitaniae ATCC 42720,ATCC 42720,Ascomyocta,JGI,,,
Clavispora lusitaniae ATCC 42720 (GCA_000003835),Clavispora lusitaniae ATCC 42720,ATCC 42720,Ascomyocta,Ensembl-Genbank,,,
Clavispora lusitaniae str. CBS 6936 (GCA_001673695),Clavispora lusitaniae str. CBS 6936,CBS 6936,Ascomyocta,Ensembl-Genbank,,,
Clavulina sp. PMI_390 v1.0,Clavulina sp. PMI_390,PMI_390,Basidiomycota,JGI,,,
Climacocystis borealis CliBor001 v1.0,Climacocystis borealis CliBor001,CliBor001,Basidiomycota,JGI,,,
Clohesyomyces aquaticus v1.0,Clohesyomyces aquaticus,CBS 115471,Ascomyocta,JGI,,,
